 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
62,Freddie Freeman*,35,LAD,NL,627,0.376,141,0.342,0.207,3.8,20.4,9.6,90.9,45.8,25.4,41.6,29.1,0.71,37.4,43.9,18.7,4.8,3.40%,38.98,27.7,75,47.9,*3/H,ASMVP-13,freemfr01
63,Andy Pages,24,LAD,NL,624,0.338,115,0.308,0.189,4.3,21.6,4.6,88.6,37.4,27.2,35.4,32.5,0.55,25.2,56.2,18.6,-0.1,0.10%,7.56,28,66.7,57.1,*897,,pagesan01
64,Tyler Soderstrom*,23,ATH,AL,624,0.352,125,0.327,0.198,4,22.6,8.8,91.5,50,24.6,48.1,23.5,0.93,29.9,51.4,18.7,2.1,0.40%,11.03,26.2,72.7,52,73H/D,,soderty01
65,Xavier Edwards#,25,MIA,NL,619,0.317,93,0.33,0.07,0.5,14.2,7.9,84.5,29.6,26.3,45.3,20.3,0.9,22.5,53.9,23.6,0,0.20%,1.28,34.4,79.4,51.9,46/HD,,edwarxa01
66,Jung Hoo Lee*,26,SFG,NL,617,0.329,112,0.291,0.141,1.3,11.5,7.6,86.8,32.1,23.9,46.9,24.9,0.89,35.7,47.5,16.8,0.4,0.00%,11.55,33.3,76.9,47.5,*8/HD,,leeju01
67,Nathaniel Lowe*,29,2TM,2LG,609,0.304,93,0.285,0.154,3,26.1,10.2,89,41.8,24.4,43.8,26.9,0.78,27,50.4,22.6,0.3,0.20%,4.46,27.2,100,20,*3/HD,,lowena01
67,Nathaniel Lowe*,29,WSN,NL,490,0.297,88,0.267,0.157,3.3,26.5,9.6,89.2,41.1,25.3,45.2,24.4,0.82,27.7,48.9,23.5,0.5,0.20%,3.17,26.8,100,16.7,*3/DH,,lowena01
67,Nathaniel Lowe*,29,BOS,AL,119,0.336,115,0.361,0.14,1.7,24.4,12.6,88.2,44.6,20.3,37.8,37.8,0.61,24.3,56.8,18.9,-0.3,0.00%,1.3,28.6,,33.3,3/HD,,lowena01
68,Josh Naylor*,28,2TM,2LG,604,0.365,128,0.315,0.168,3.3,13.7,7.9,89.1,42,23,45.6,26,0.84,37.2,52,10.8,2.5,1.30%,32,31.8,93.8,27.7,*3D/H,,naylojo01
68,Josh Naylor*,28,ARI,NL,394,0.356,122,0.311,0.155,2.8,12.4,9.4,88.9,40.3,23.4,44.4,28,0.8,38.2,50.3,11.5,1.6,0.60%,18.69,29.2,84.6,26.5,3D/H,,naylojo01
